metadata,timesteps,grid_buying_price_units,grid_buying_price_values,gen_PV_units,gen_PV_values,e_bat_capacity_units,e_bat_capacity_values,e_bat_SOC_ini,e_bat_SOC_min,e_bat_SOC_max,e_bat_charging_power_units,e_bat_charging_power_values,electrolyzer_max_power_units,electrolyzer_max_power_values,electrolyzer_performance_units,electrolyzer_performance_values,H2_demand_units,H2_demand_values,H2_storage_SOC_capacity_units,H2_storage_SOC_capacity_values,H2_storage_SOC_ini,H2_storage_SOC_min,H2_storage_SOC_max,labels,prediction_label_min2,prediction_label_max2,estimated_labels,min_energy_MINLP,is_valid_MINLP,min_energy_uniform_annealer,is_valid_uniform_annealer,min_energy,is_valid
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[176.1938073686823, 130.06219668252086]",MW,"[11.45061708681703, 9.728566201989297]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095607900.0,856243840.0,"[1095607900.0, 500000000, 856243840.0, 100000000]",,False,-3688888281.942222,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[140.17455304520198, 132.8890458183625]",MW,"[14.561479179198738, 10.163024543946928]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095179000.0,855018500.0,"[1095179000.0, 500000000, 855018500.0, 100000000]",-3448887958.658889,False,-3688888268.735556,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[177.01058834003177, 133.87252511702638]",MW,"[20.323073271495943, 12.433921142452393]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[4.8000000000000025, 4.8000000000000025]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1092918900.0,847488200.0,"[1092918900.0, 500000000, 847488200.0, 100000000]",,False,-7683909825.959106,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[134.13305650585124, 143.51469870952027]",MW,"[16.549938968627284, 8.612228290016157]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093460200.0,853482700.0,"[1093460200.0, 500000000, 853482700.0, 100000000]",-1928888554.0322216,False,-2728887884.3188887,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[131.48621528260708, 135.09577981147174]",MW,"[12.166886118104177, 8.308014696589634]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[4.400000000000002, 4.400000000000002]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1060000000.0, 100000000.0, 820000000.0]",1084955400.0,846088000.0,"[1084955400.0, 500000000, 846088000.0, 100000000]",,False,-6506309922.2311125,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[137.89321054577718, 143.33137095357586]",MW,"[20.333514310959742, 8.504649728034785]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1095003400.0,855458940.0,"[1095003400.0, 500000000, 855458940.0, 100000000]",-2871110776.674444,False,-3182221553.348889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[176.56430529317234, 113.03184052086463]",MW,"[19.399805499984396, 9.62977002332321]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095394000.0,855487000.0,"[1095394000.0, 500000000, 855487000.0, 100000000]",-4231110319.9011097,False,-4231110319.9011097,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[148.17499675903008, 107.43458550734907]",MW,"[21.106486814559773, 12.241193367043094]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094489700.0,855426050.0,"[1094489700.0, 500000000, 855426050.0, 100000000]",-3448888136.8788886,False,-3688888387.5488887,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[175.32093714959618, 155.189484387562]",MW,"[15.68022210808909, 10.701367776663746]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.000000000000001, 3.000000000000001]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1089299100.0,849942800.0,"[1089299100.0, 500000000, 849942800.0, 100000000]",,False,-3191110179.9711103,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[134.43739959018325, 136.14772597653032]",MW,"[19.95434946233727, 12.902109318535912]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.6000000000000005, 2.6000000000000005]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1088693800.0,851236300.0,"[1088693800.0, 500000000, 851236300.0, 100000000]",-1201777541.7844443,False,-2474310403.1311107,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[161.79377863918947, 129.9341764104286]",MW,"[20.654756193631414, 11.964913812918528]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094625300.0,854951500.0,"[1094625300.0, 500000000, 854951500.0, 100000000]",-2195555252.385556,False,-2728887979.378889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[125.07201127359595, 138.53937820325794]",MW,"[16.960208919981646, 10.40740630531237]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095446500.0,855302900.0,"[1095446500.0, 500000000, 855302900.0, 100000000]",-1928888565.6288888,False,-2728887919.1088886,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[179.74423336390538, 119.68081046149845]",MW,"[14.751436798270564, 7.165019834863977]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1096208500.0,856435500.0,"[1096208500.0, 500000000, 856435500.0, 100000000]",-4231110273.35111,False,-4231110273.3511114,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[174.47130531551537, 112.79463671866577]",MW,"[11.616699561714393, 11.468027112979096]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1095390700.0,856135940.0,"[1095390700.0, 500000000, 856135940.0, 100000000]",-2871110847.9344444,False,-3182221695.8688893,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[157.0432188647433, 107.401844974143]",MW,"[16.945613433734014, 13.065122320870753]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094960100.0,855817600.0,"[1094960100.0, 500000000, 855817600.0, 100000000]",,False,-4231110359.3111095,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[153.68524827840614, 121.08887860452796]",MW,"[16.13509436443545, 9.835808834185116]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094810800.0,854476540.0,"[1094810800.0, 500000000, 854476540.0, 100000000]",-2871110828.5677776,False,-3182221657.135556,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[122.68964530511768, 119.17280296619933]",MW,"[20.903932511503562, 9.882532872781322]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1087752600.0,850275700.0,"[1087752600.0, 500000000, 850275700.0, 100000000]",,False,-3688888332.762223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[126.4954319776348, 144.25360370670083]",MW,"[17.407986206701842, 11.991344515093123]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.000000000000001, 3.000000000000001]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1095560700.0,854282240.0,"[1095560700.0, 500000000, 854282240.0, 100000000]",-3191110245.611111,False,-3191110245.6111107,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[124.08197966955265, 125.48807984513232]",MW,"[14.306878767655682, 12.056045483734554]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094833300.0,855185300.0,"[1094833300.0, 500000000, 855185300.0, 100000000]",-3448888010.4588885,False,-3688888303.268889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[137.50172914332884, 151.9062154302597]",MW,"[18.500434139368462, 7.630253549082021]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.4000000000000012, 3.4000000000000012]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1093720400.0,851896200.0,"[1093720400.0, 500000000, 851896200.0, 100000000]",,False,-4010310078.1231103,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[134.19988672691906, 132.6371411460316]",MW,"[19.65636312182122, 11.440269174051506]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[4.000000000000002, 4.000000000000002]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1072369340.0,831799550.0,"[1072369340.0, 500000000, 831799550.0, 100000000]",-4355555201.848888,False,-5431110049.99111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[166.9422884978146, 120.04189904434092]",MW,"[11.829384739190726, 12.770538566168605]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094601900.0,855595260.0,"[1094601900.0, 500000000, 855595260.0, 100000000]",,False,-3688888328.7022223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[181.9899245005404, 146.37564614197257]",MW,"[18.78398904657159, 11.99082923435964]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093655400.0,852901570.0,"[1093655400.0, 500000000, 852901570.0, 100000000]",,False,-3688888205.7822223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[173.09471322691434, 154.13040521011732]",MW,"[13.078145497282081, 11.249475956376076]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095813000.0,855812800.0,"[1095813000.0, 500000000, 855812800.0, 100000000]",-1928888529.252222,False,-2728887809.9788885,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[150.22294156543603, 137.6856507179884]",MW,"[11.463890421352504, 11.456702281939732]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096192300.0,855909900.0,"[1096192300.0, 500000000, 855909900.0, 100000000]",-2871110789.8344445,False,-3182221579.6688886,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[154.59432852866146, 152.71270849776644]",MW,"[21.80607524585555, 9.779752235379437]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1090916200.0,849576800.0,"[1090916200.0, 500000000, 849576800.0, 100000000]",-4231110042.14111,False,-4231110042.1411104,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[125.70462544516351, 139.1318883365263]",MW,"[12.557339965642576, 7.373077538931161]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.8000000000000007, 2.8000000000000007]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094380500.0,849959040.0,"[1094380500.0, 500000000, 849959040.0, 100000000]",-2819910331.983111,False,-2819910331.983111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[165.20504582235404, 122.86723028610942]",MW,"[18.190258645872607, 13.539584282593058]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095320600.0,854870340.0,"[1095320600.0, 500000000, 854870340.0, 100000000]",-3671110251.021111,False,-3688888315.4955554,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[133.20734997055442, 132.4067834089688]",MW,"[18.544716533111515, 9.0197249900054]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.8000000000000016, 3.8000000000000016]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094374800.0,854283900.0,"[1094374800.0, 500000000, 854283900.0, 100000000]",,False,-4931910104.795112,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[165.77952888797876, 123.26019578864945]",MW,"[12.183658075735199, 10.689598671495078]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1097134100.0,857337100.0,"[1097134100.0, 500000000, 857337100.0, 100000000]",-4231110248.2911096,False,-4231110248.29111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[173.62490013415155, 110.72592641717053]",MW,"[20.825505627303038, 9.56824333637347]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095255000.0,856004540.0,"[1095255000.0, 500000000, 856004540.0, 100000000]",-3448888113.7788887,False,-3688888372.148889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[169.91754551487443, 156.47386074070138]",MW,"[14.897880168887369, 9.527562205149513]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.8000000000000016, 3.8000000000000016]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1094500500.0,858121600.0,"[1094500500.0, 500000000, 858121600.0, 100000000]",-4007110714.720444,False,-4931909921.939111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[154.96452648451825, 157.55480623782464]",MW,"[12.713891778868291, 10.858160312830579]",MWh,"[12.0, 12.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094235400.0,854211460.0,"[1094235400.0, 500000000, 854211460.0, 100000000]",-991665563.8166668,True,-991665563.8166668,True,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[129.5622123817043, 118.24879624547908]",MW,"[14.30533458156351, 9.766967067175898]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093735000.0,854402400.0,"[1093735000.0, 500000000, 854402400.0, 100000000]",-4231110283.3611097,False,-4231110283.361111,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[126.86593363861716, 122.30458784661744]",MW,"[16.13478476070675, 7.945586607174572]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096844300.0,857088400.0,"[1096844300.0, 500000000, 857088400.0, 100000000]",,False,-3182221651.488889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[128.30341045550296, 136.2418534340689]",MW,"[19.123499126520993, 13.393044658512354]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1091782300.0,854184900.0,"[1091782300.0, 500000000, 854184900.0, 100000000]",-1439999682.1066666,False,-2728887935.208889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[123.46977924478203, 122.6170278607524]",MW,"[16.488062761155163, 9.197196574807712]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1096253300.0,856109400.0,"[1096253300.0, 500000000, 856109400.0, 100000000]",,False,-3182221649.9955564,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[151.97910519604181, 129.49677450992675]",MW,"[22.017745166273016, 13.654130835251722]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093275500.0,853619460.0,"[1093275500.0, 500000000, 853619460.0, 100000000]",,False,-3688888284.555556,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[153.36774900950732, 127.83229746073337]",MW,"[18.012047425376934, 12.898767079471954]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1095435300.0,854800600.0,"[1095435300.0, 500000000, 854800600.0, 100000000]",-2871110812.841111,False,-3182221625.682223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[142.09238965366177, 107.77830766905191]",MW,"[14.625853952030543, 12.371736239241093]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095844000.0,856000830.0,"[1095844000.0, 500000000, 856000830.0, 100000000]",-4231110356.6511097,False,-4231110356.6511097,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[153.97442394390998, 146.1197744492329]",MW,"[11.329570280462287, 8.345915760803424]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093678500.0,851520100.0,"[1093678500.0, 500000000, 851520100.0, 100000000]",,False,-2728887866.048889,False,,
